DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,LINEAS,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE
ESPERANZA,163,079-16-458,1993-07-01,['4'],U,N,Calle,445354.0,4479161.0,[]
CANILLAS,163,079-16-455,1993-07-01,['4'],U,T,Avda,446224.0,4479639.0,[]
MAR DE CRISTAL,164,079-16-452,1993-07-01,"['4', ' 8']",U,T,Gta,445997.0,4480264.0,[]
SAN LORENZO,164,079-16-450,1993-07-01,['4'],U,T,Avda,445895.0,4480825.0,[]
PARQUE DE SANTA MARIA,164,079-16-446,1993-07-01,['4'],U,T,Calle,445417.0,4481122.0,[]
CANILLEJAS,207,079-20-547,1993-07-01,['5'],U,N,Calle,448539.0,4478026.0,[]
TORRE ARIAS,208,079-20-545,1993-07-01,['5'],U,N,Calle,447785.0,4477401.0,[]
SUANZES,201,079-20-550,1993-07-01,['5'],U,N,Calle,446948.0,4477085.0,[]
CIUDAD LINEAL,153,079-15-415,1993-07-01,['5'],U,N,Calle,445986.0,4476781.0,[]
QUINTANA,153,079-15-413,1993-07-01,['5'],U,N,Calle,445202.0,4476291.0,[]
EL CARMEN,154,079-15-410,1993-07-01,['5'],U,N,Calle,444334.0,4476110.0,[]
NUÑEZ DE BALBOA,46,079-04-066,1993-07-01,"['5', ' 9']",U,N,Calle,442214.0,4476225.0,[]
RUBEN DARIO,74,079-07-135,1993-07-01,['5'],U,N,Paseo,441624.0,4476271.0,[]
BILBAO,73,079-07-138,1993-07-01,"['1', ' 4']",U,T,Calle,440548.0,4475824.0,[]
LA LATINA,12,079-01-019,1993-07-01,['5'],U,N,Calle,440025.0,4473855.0,[]
MARQUES DE VADILLO,112,079-11-276,1993-07-01,['5'],U,N,Gta,439351.0,4472315.0,[]
URGEL,112,079-11-284,1993-07-01,['5'],U,N,Calle,438698.0,4471876.0,[]
VISTA ALEGRE,114,079-11-289,1993-07-01,['5'],U,N,Calle,437318.0,4471387.0,[]
CARABANCHEL,114,079-11-288,1993-07-01,['5'],U,N,Gta,436888.0,4471277.0,[]
