DENOMINACION,BARRIO,CORONATARIFARIA,FECHAINICIO,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE,LINEAS
CANILLEJAS,207,A,1993-07-01,U,N,Calle,448539.0,4478026.0,[],"[{'linea': '5', 'orden': 30}]"
TORRE ARIAS,208,A,1993-07-01,U,N,Calle,447785.0,4477401.0,[],"[{'linea': '5', 'orden': 29}]"
SUANZES,201,A,1993-07-01,U,N,Calle,446948.0,4477085.0,[],"[{'linea': '5', 'orden': 28}]"
CIUDAD LINEAL,153,A,1993-07-01,U,N,Calle,445986.0,4476781.0,[],"[{'linea': '5', 'orden': 27}]"
QUINTANA,153,A,1993-07-01,U,N,Calle,445202.0,4476291.0,[],"[{'linea': '5', 'orden': 25}]"
EL CARMEN,154,A,1993-07-01,U,N,Calle,444334.0,4476110.0,[],"[{'linea': '5', 'orden': 24}]"
NUÑEZ DE BALBOA,46,A,1993-07-01,U,N,Calle,442214.0,4476225.0,[],"[{'linea': '5', 'orden': 21}, {'linea': '9', 'orden': 13}]"
RUBEN DARIO,74,A,1993-07-01,U,N,Paseo,441624.0,4476271.0,[],"[{'linea': '5', 'orden': 20}]"
BILBAO,73,A,1993-07-01,U,T,Calle,440548.0,4475824.0,[],"[{'linea': '1', 'orden': 12}, {'linea': '4', 'orden': 3}]"
LA LATINA,12,A,1993-07-01,U,N,Calle,440025.0,4473855.0,[],"[{'linea': '5', 'orden': 14}]"
MARQUES DE VADILLO,112,A,1993-07-01,U,N,Gta,439351.0,4472315.0,[],"[{'linea': '5', 'orden': 10}]"
URGEL,112,A,1993-07-01,U,N,Calle,438698.0,4471876.0,[],"[{'linea': '5', 'orden': 9}]"
VISTA ALEGRE,114,A,1993-07-01,U,N,Calle,437318.0,4471387.0,[],"[{'linea': '5', 'orden': 7}]"
CARABANCHEL,114,A,1993-07-01,U,N,Gta,436888.0,4471277.0,[],"[{'linea': '5', 'orden': 6}]"
PACO DE LUCIA,87,A,2015-03-25,U,T,Calle,440026.0,4483665.0,"['C-7', 'C-8', 'C-8a']","[{'linea': '9', 'orden': 1}]"
PUEBLO NUEVO,153,A,1993-07-01,U,T,Calle,445588.0,4476519.0,[],"[{'linea': '5', 'orden': 26}, {'linea': '7', 'orden': 18}]"
CIUDAD UNIVERSITARIA,93,A,1993-07-01,U,T,Avda,438474.0,4477451.0,[],"[{'linea': '6', 'orden': 8}]"
GUZMAN EL BUENO,76,A,1993-07-01,U,T,Calle,439706.0,4477752.0,[],"[{'linea': '6', 'orden': 10}, {'linea': '7', 'orden': 9}]"
VINATEROS,144,A,1993-07-01,U,N,Calle,444727.0,4473704.0,[],"[{'linea': '9', 'orden': 18}]"
ARTILLEROS,146,A,1993-07-01,U,N,Calle,445650.0,4473140.0,[],"[{'linea': '9', 'orden': 19}]"
